crypto,CoinName,Algorithm,IsTrading1,ProofType,TotalCoinsMined,TotalCoinSupply
BLAST,BLAST,SHA-256,1.0,PoW,52293836.6,64000000.0
XRC,Bitcoin Rhodium,X13,1.0,PoW,1170292.5,2100000.0
GLT,GlobalToken,SHA-256,1.0,PoW,84613100.0,168000000.0
INSN,Insane Coin,X11,1.0,PoW/PoS,23775960.3,30000000.0
ALX,ALAX,DPoS,1.0,DPoS,1000000000.0,1000000000.0
TFC,The Freedom Coin,X11,1.0,PoS,0.0,25000000.0
MPT,Media Protocol Token,Ethash,0.0,PoW,10000000000.0,10000000000.0
LDOGE,LiteDoge,Scrypt,1.0,PoW/PoS,15318887081.0,35000000000.0
BBR,Boolberry,X11,1.0,PoW,0.0,18450000.0
SLR,SolarCoin,Scrypt,1.0,PoW,55565076.4,98100000000.0
TRK,TruckCoin,X11,1.0,PoW/PoS,242574105.2,0.0
UFO,UFO Coin,NeoScrypt,1.0,PoW,3824685012.0,4000000000.0
OC,OrangeCoin,Scrypt,1.0,PoW/PoS,3537150.0,200000000.0
BLC,BlakeCoin,Blake,1.0,PoW,23356790.1,7000000000.0
BITS,BitstarCoin,Scrypt,1.0,PoW/PoS,20576532.0,54256119.0
NEOS,NeosCoin,SHA-256,1.0,PoS,4392258.2,21000000.0
HYPER,HyperCoin,Scrypt,1.0,PoW/PoS,9631200.0,0.0
PINK,PinkCoin,X11,1.0,PoW/PoS,436353624.5,500000000.0
FCN,FantomCoin ,CryptoNight,1.0,PoW,0.0,18400000.0
CESC,Crypto Escudo,Scrypt,1.0,PoW,780210700.0,1000000000.0
ADC,AudioCoin,Scrypt,1.0,PoW/PoS,980732529.0,10500000000.0
NKA,IncaKoin,SHA-256,1.0,PoW/PoS,17939725045.3,190000000.0
PIGGY,Piggy Coin,X11,1.0,PoW/PoS,494240666.0,1000000000.0
CRW,Crown Coin,SHA-256,1.0,PoW,22986929.1,42000000.0
GEN,Genstake,Scrypt,1.0,PoW/PoS,60000000.0,15000000.0
QCN,Quazar Coin,CryptoNight,1.0,PoW,0.0,18446744.0
SMLY,SmileyCoin,Scrypt,1.0,PoW,29583989322.9,50000000000.0
PKB,ParkByte,SHA-256,1.0,PoW/PoS,0.0,25000000.0
MI,XiaoMiCoin,Scrypt,1.0,PoW/PoS,404316475.5,400000000.0
GRS,Groestlcoin,Groestl,1.0,PoW,73298203.9,105000000.0
CPC,CapriCoin,X11,1.0,PoW/PoS,201364327.4,208000000.0
CLUB, ClubCoin,Scrypt,1.0,PoW/PoS,103621876.2,160000000.0
RADS,Radium,PoS,1.0,PoS,3821245.7,9000000.0
BTA,Bata,Scrypt,1.0,PoW,5052555.9,5000000.0
PAK,Pakcoin,Scrypt,1.0,PoW,69684455.4,182000000.0
CRB,Creditbit ,X11,1.0,Proof of Trust,16901016.7,16504333.0
OK,OKCash,SHA-256,1.0,PoW/PoS,74676064.9,105000000.0
LSK,Lisk,DPoS,1.0,DPoS,120012140.0,159918400.0
XHI,HiCoin,Scrypt,1.0,PoS,10000244677.7,10008835635.0
XWC,WhiteCoin,Scrypt,1.0,PoW/PoS,252005564.2,300000000.0
DOT,Dotcoin,Scrypt,1.0,PoW,0.0,890000000.0
FSC,FriendshipCoin,NeoScrypt,1.0,PoW/PoS,1120385.0,60168145.0
THC,The Hempcoin,Scrypt,1.0,PoW/PoS,0.0,300000000.0
FIII,Fiii,SHA3-256,1.0,DPoC,-5917977548.0,5000000000.0
J,JoinCoin,Multiple,1.0,PoW,3332922.5,2800000.0
TRI,Triangles Coin,X13,1.0,PoW/PoS,140777.8,120000.0
VOLLAR,Vollar,Equihash+Scrypt,1.0,PoW,100000000.0,2100000000.0
TCR,TecraCoin,Lyra2Z,0.0,PoW,40874452.5,210000000.0
GEX,Gexan,PHI2,0.0,PoW/PoS,2233828.1,21000000.0
EOS,EOS,DPoS,1.0,DPoS,1020544523.1,0.0
RCC,Reality Clash,Ethash,1.0,PoW,24487944.1,24487944.0
OXY,Oxycoin,DPoS,1.0,DPoS,1122382283.4,0.0
ILT,iOlite,Ethash,1.0,PoW,0.0,1000000000.0
TCH,TigerCash,SHA-256,1.0,PoS,1000000000.0,1000000000.0
LAX,LAPO,Lyra2Z,0.0,PoW/PoS,11086825523.4,100000000000.0
WAVES,Waves,Leased POS,1.0,LPoS,100000000.0,100000000.0
PART,Particl,PoS,1.0,PoS,9283137.6,8634140.0
SHARD,ShardCoin,Scrypt,0.0,PoS,24924986.1,900000000.0
BTT,BitTorrent,TRC10,1.0,DPoS,989988713439.6,990000000000.0
ZILLA,ChainZilla,Equihash,0.0,DPoW,11000068.3,11000000.0
NXT,Nxt,PoS,1.0,PoS/LPoS,1000000000.0,1000000000.0
ZEPH,ZEPHYR,SHA-256,1.0,DPoS,1999999995.3,2000000000.0
GAP,Gapcoin,Scrypt,1.0,PoW/PoS,14931046.2,250000000.0
BDX,Beldex,CryptoNight,1.0,PoW,980222595.0,1400222610.0
ZEN,Horizen,Equihash,1.0,PoW,7296537.5,21000000.0
XBC,BitcoinPlus,Scrypt,1.0,PoS,128327.0,1000000.0
DVTC,DivotyCoin,Scrypt,0.0,PoW/PoS,21491213.5,100000000.0
